type,k,risk_mean,risk_lo,risk_hi,flip_mean,flip_lo,flip_hi
FOMC,-10,0.1647805297532636,0.15718961757279062,0.1828969483166812,0.027450980392156862,0.023529411764705882,0.050980392156862744
FOMC,-9,0.1740688312625903,0.15669298867280992,0.1825713037022319,0.029411764705882353,0.023529411764705882,0.05098039215686275
FOMC,-8,0.17412213337650737,0.1565836054752239,0.18140070233544484,0.047058823529411764,0.023529411764705882,0.050980392156862744
FOMC,-7,0.18009611691150915,0.15733225393474237,0.1813498832370393,0.043137254901960784,0.023529411764705882,0.050980392156862744
FOMC,-6,0.16934915817590182,0.1561815895192247,0.18153393129380865,0.03529411764705882,0.023529411764705882,0.050980392156862744
FOMC,-5,0.16778257386750164,0.15728222693035124,0.18251655449166343,0.03137254901960784,0.023529411764705882,0.050980392156862744
FOMC,-4,0.16746004966616293,0.15781632970257514,0.18233076257249428,0.047058823529411764,0.023529411764705882,0.050980392156862744
FOMC,-3,0.1694367337048692,0.15772234983064226,0.18198915678748237,0.049019607843137254,0.023529411764705882,0.050980392156862744
FOMC,-2,0.16450208930394836,0.1577635675360323,0.1830214207213319,0.045098039215686274,0.023529411764705882,0.050980392156862744
FOMC,-1,0.17683596903378626,0.15722609000119217,0.18169627312029354,0.023529411764705882,0.023529411764705882,0.050980392156862744
FOMC,0,0.1792043095101878,0.15681562771355403,0.18209570244106782,0.0392156862745098,0.023529411764705882,0.050980392156862744
FOMC,1,0.17705567665797936,0.15674617969407156,0.1821347890332652,0.050980392156862744,0.023529411764705882,0.050980392156862744
FOMC,2,0.19056105417307867,0.15534243240019877,0.1809401945689575,0.03725490196078431,0.023529411764705882,0.050980392156862744
FOMC,3,0.18325856594989226,0.15546593549754006,0.1819232147117598,0.06862745098039216,0.023529411764705882,0.049019607843137254
FOMC,4,0.17046232398176667,0.15652144454761796,0.18169038041028657,0.043137254901960784,0.023529411764705882,0.050980392156862744
FOMC,5,0.16661366461994684,0.1573293953973892,0.182246857291437,0.029411764705882353,0.023529411764705882,0.052941176470588235
FOMC,6,0.18633023243556596,0.15634409980632483,0.18144790716800463,0.027450980392156862,0.023529411764705882,0.050980392156862744
FOMC,7,0.17809753603928197,0.15618029620820223,0.18105473858850207,0.054901960784313725,0.023529411764705882,0.049019607843137254
FOMC,8,0.17164089810924132,0.15518122295685047,0.18165238036698494,0.050980392156862744,0.023529411764705882,0.050980392156862744
FOMC,9,0.16732443197675256,0.15611373668184192,0.18135694280724418,0.029411764705882353,0.023529411764705882,0.050980392156862744
FOMC,10,0.16309712446896218,0.1554262746553276,0.18128380750281153,0.03725490196078431,0.023529411764705882,0.050980392156862744
ECB,-10,0.16111089046122007,0.1587493021146795,0.18216412166331758,0.023923444976076555,0.025518341307814992,0.051036682615629984
ECB,-9,0.17685452859326276,0.15825322394372554,0.18141373343592676,0.028708133971291867,0.023923444976076555,0.049441786283891544
ECB,-8,0.17633904710009393,0.15753387953064749,0.18134963226849138,0.06060606060606061,0.023923444976076555,0.049441786283891544
ECB,-7,0.1733200096221252,0.15843298176519874,0.18228411632404157,0.02711323763955343,0.025518341307814992,0.049441786283891544
ECB,-6,0.16927099173767504,0.15810472338365525,0.18106929577287134,0.030303030303030304,0.025518341307814992,0.051036682615629984
ECB,-5,0.1769351024829355,0.15776972582596516,0.18054494429552356,0.025518341307814992,0.025518341307814992,0.049441786283891544
ECB,-4,0.183044945169829,0.15727652324250554,0.18012247660188818,0.04146730462519936,0.025518341307814992,0.049441786283891544
ECB,-3,0.18160673893615328,0.15781522502946835,0.18011497272632127,0.03189792663476874,0.025518341307814992,0.049441786283891544
ECB,-2,0.17303707947588587,0.15867679443468938,0.1810355137368326,0.03668261562998405,0.025518341307814992,0.049441786283891544
ECB,-1,0.16691142786342927,0.1579208929164871,0.18070009183498112,0.046251993620414676,0.023923444976076555,0.049441786283891544
ECB,0,0.16594727472573,0.15769071563142195,0.18040530435470623,0.03189792663476874,0.025518341307814992,0.049441786283891544
ECB,1,0.1680740594321265,0.15774953671096043,0.17993915412489284,0.06060606060606061,0.023923444976076555,0.049441786283891544
ECB,2,0.16825722821631386,0.15723044635893474,0.1809100189154596,0.05263157894736842,0.023923444976076555,0.047926634768739956
ECB,3,0.16513245496234064,0.15685403520203614,0.18047756725033284,0.02711323763955343,0.025518341307814992,0.049441786283891544
ECB,4,0.1675391804630985,0.15764237754434512,0.18121748309693536,0.022328548644338118,0.025518341307814992,0.051036682615629984
ECB,5,0.16645363041411176,0.15748158323262398,0.1804264315303897,0.051036682615629984,0.023923444976076555,0.049441786283891544
ECB,6,0.16721788017244935,0.15727866745910635,0.180139051497193,0.044657097288676235,0.025518341307814992,0.049441786283891544
